customer_id,age,gender,marital_status,education,occupation,state,employment_status,annual_income,customer_since,customer_segment,risk_profile,account_type,average_balance,monthly_expenses,monthly_savings,emi,loan_amount,credit_score,debt_to_income_ratio,number_of_accounts,digital_banking_usage,mobile_app_usage,atm_transactions,online_transactions,salary_account,savings_account,credit_card,personal_loan,home_loan,car_loan,gold_loan,fixed_deposit,recurring_deposit,mutual_fund,insurance,demat_account,forex_card,travel_card,total_amount,total_transactions,avg_amount,max_amount,min_amount,annual_income_log,monthly_income_log,monthly_expenses_log,average_balance_log,loan_amount_log,total_amount_log,product_count,has_loan
CUST100716,18.0,Female,Single,Doctorate,Student,Gujarat,Not Employed,49578.91,1.0,Students,Medium,Savings,5805.72,2526.5,1614.69,0.0,0.0,545.0,0.0,3.0,80.0,77.0,9.0,25.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,818.86,14,58.49,80.63,50.0,10.81134099033945,8.326657188249483,7.834985950894627,8.66677114654121,0.0,6.709133593974665,2,0
CUST102618,,Male,Single,Post Graduate,Salaried - Private,Tamil Nadu,Employed,2288006.47,1.0,Business Owners,Medium,Fixed Deposit Linked,699817.07,117289.25,74901.72,0.0,,658.0,0.0,1.0,82.0,61.0,4.0,24.0,False,True,False,True,True,True,False,False,True,True,True,True,False,False,495500.42,13,38115.416923076926,177977.63,1021.36,14.643191896336637,12.15829007606666,11.672406910982287,13.458575680245684,,13.113325498540203,8,0
CUST104182,22.0,Female,Single,Graduate,Student,Karnataka,Not Employed,91500.95,4.0,Students,Medium,Savings,13378.28,4789.29,2680.28,442.01,20422.05,580.0,0.02,,85.0,100.0,9.0,24.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1178.76,10,117.876,680.73,50.0,11.424115562511936,8.93932923078997,8.474346231369815,9.501462520575128,9.924419443934305,7.073066306942685,2,1
CUST100207,41.0,Other,Divorced,Post Graduate,Salaried - Private,Rajasthan,Employed,2452868.87,13.0,Business Owners,High,Salary,346270.63,84389.55,63570.77,59017.47,5953713.64,598.0,0.29,2.0,71.0,69.0,9.0,30.0,True,True,True,True,False,False,False,False,True,True,True,True,True,True,5458825.0,41,133142.07317073172,269059.14,1205.9,14.712769272506106,12.227867111327724,11.343210707490652,12.754978803846639,15.599525891965566,15.512744306286317,10,1
CUST104464,34.0,Female,Widowed,Diploma,,Tamil Nadu,Employed,1374422.8,15.0,Young Professionals,Medium,Salary,111072.64,42683.38,13177.73,56852.33,4993888.45,586.0,0.45,2.0,83.0,59.0,14.0,32.0,True,True,True,False,False,True,False,False,True,False,True,False,False,False,2744022.35,37,74162.76621621622,119108.34,571.65,14.13354514670946,11.648646471140403,10.661588324330133,11.617948683749859,15.423725613012962,14.824935777266926,6,1
CUST102173,28.0,Female,Divorced,Graduate,Salaried - Government,Maharashtra,Employed,1195087.46,,Young Professionals,Medium,Salary,310317.22,45368.36,53913.67,0.0,0.0,763.0,0.0,3.0,77.0,68.0,9.0,28.0,True,True,True,False,False,False,False,True,True,False,False,False,False,True,2429646.48,36,67490.18,104539.26,725.49,13.993730765712627,11.508833303486828,10.722592266320914,12.64535356608296,0.0,14.70325673483422,6,0
CUST103464,60.0,Female,Single,Graduate,Retired,Odisha,Retired,271904.82,8.0,Retired Customers,Low,Savings,54293.06,10709.49,12082.14,0.0,0.0,547.0,0.0,1.0,46.0,0.0,23.0,8.0,False,True,False,False,False,False,True,True,False,False,True,False,False,False,2179.77,6,363.295,646.37,94.55,12.513211035319763,10.02834506055324,9.278978914029206,10.902170107673063,0.0,7.6874333044279854,4,0
CUST101521,64.0,Female,Single,Graduate,,Punjab,Retired,665717.96,5.0,Retired Customers,Low,Salary,106061.36,37100.88,18896.75,0.0,0.0,716.0,0.05,4.0,47.0,67.0,19.0,25.0,True,True,True,True,False,False,False,False,True,False,True,False,False,True,1327484.29,28,47410.15321428571,58012.3,436.05,13.408622878481092,10.923732812130133,10.521422921166097,11.571782501999282,0.0,14.098796951057553,7,0
CUST101140,66.0,Female,Married,High School,Retired,Rajasthan,Retired,267229.27,5.0,Retired Customers,Low,,3805.97,13146.87,-3425.81,12541.03,378925.1,457.0,0.62,2.0,28.0,14.0,,5.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2073.07,5,414.614,852.89,142.64,12.495866000156406,10.011000699619547,9.484015047299877,8.244588876130802,12.845096478244777,7.637268139425314,2,1
CUST104590,37.0,Female,Divorced,Graduate,Salaried - Private,Kerala,Employed,1820236.88,5.0,Business Owners,Medium,Salary,109769.72,54215.29,10518.25,90115.38,4395392.68,623.0,0.6,4.0,79.0,71.0,10.0,38.0,True,True,True,False,False,False,False,True,True,True,False,True,False,False,3993421.96,43,92870.27813953489,157378.35,1743.52,14.41447775380875,11.92957716914369,10.900736695776116,11.606149105829022,15.296067659606353,15.200159305805059,7,1
CUST100546,61.0,Female,Divorced,Post Graduate,Self Employed,Maharashtra,Self Employed,1882069.1,15.0,Business Owners,Medium,Salary,345889.66,103542.24,53709.56,0.0,0.0,686.0,0.04,2.0,49.0,36.0,22.0,15.0,True,True,True,False,False,False,False,False,False,True,True,True,False,False,4340848.62,35,124024.24628571428,232437.59,1310.8,14.447882846042713,11.96298203023931,11.547744582220501,12.753877992536992,0.0,15.283580651894084,6,0
CUST103110,44.0,Male,Widowed,Graduate,,Jharkhand,Not Employed,24082.69,16.0,Business Owners,Low,Salary,968.58,1500.0,-1759.18,2270.13,49813.91,483.0,1.11,3.0,67.0,60.0,13.0,21.0,True,True,True,True,False,True,False,False,False,False,False,False,True,True,248476.41,37,6715.578648648649,98706.2,92.95,10.089290126885487,,7.313886831633462,6.876862988039603,10.81606961579259,12.423107214954076,7,1
CUST104433,52.0,Male,Widowed,Graduate,Business Owner,Madhya Pradesh,Self Employed,11262124.46,2.0,High Net Worth Individuals,High,Current,861631.03,502764.8,85304.82,349394.91,19561308.12,581.0,0.41,1.0,40.0,34.0,16.0,14.0,False,True,False,True,False,False,False,False,True,True,True,False,False,False,2005963.46,18,111442.41444444444,713817.12,5731.59,16.23695592485186,13.752050250012564,13.127879734291747,13.666583579156555,16.789064148756697,14.511635530497621,5,1
CUST103279,55.0,Female,Married,Graduate,Business Owner,Gujarat,Self Employed,5183150.14,8.0,High Net Worth Individuals,High,Savings,,218630.91,-2292959.9,2521232.72,28390353.72,612.0,1.5,4.0,71.0,45.0,11.0,27.0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,2036513.15,23,88544.05,592736.62,9814.84,15.460923757464409,12.976019233793897,12.295144818453785,,17.161560022911427,14.526750154241899,4,1
CUST100606,32.0,Female,Married,Graduate,Salaried - Private,Rajasthan,Employed,657179.4,1.0,Young Professionals,Medium,Savings,58075.58,37777.45,16909.38,0.0,0.0,619.0,0.0,1.0,81.0,82.0,7.0,33.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,6663.78,8,832.9725,1290.68,323.06,13.395713841206911,10.910823929453006,10.539494113215458,10.969517763467408,0.0,8.80459222381596,2,0
CUST104126,29.0,Female,Divorced,Graduate,,Maharashtra,Employed,961441.14,11.0,Young Professionals,High,Fixed Deposit Linked,160647.09,44954.83,15015.31,20700.89,,627.0,0.26,1.0,83.0,100.0,12.0,35.0,False,True,False,False,False,False,False,False,True,False,True,False,True,True,28510.24,16,1781.89,4460.03,413.76,13.776189665393202,11.291294519091398,10.713435731155787,11.986971475273203,,10.25805367447195,5,0
CUST101112,32.0,Other,Married,Graduate,Salaried - Government,Uttarakhand,Employed,1369043.81,14.0,Young Professionals,Medium,Savings,43087.04,69746.14,-1302.53,45698.68,4313919.22,595.0,0.38,,96.0,60.0,7.0,26.0,False,True,False,False,False,True,False,False,False,False,True,False,False,False,37131.05,16,2320.690625,4556.99,578.79,14.129623835656018,11.644725184113312,11.152631695258712,10.671000743383663,15.277357612482536,10.522235757066369,3,1
CUST102964,38.0,Female,Married,Post Graduate,Business Owner,Maharashtra,Self Employed,3637835.25,16.0,High Net Worth Individuals,High,Current,2001260.44,160001.87,138954.15,0.0,0.0,634.0,0.04,1.0,78.0,63.0,12.0,21.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1040072.3,17,61180.72352941176,552552.05,4161.07,15.106899626052128,12.621996008281656,11.982947031555089,14.509288259703956,0.0,13.854801749403133,1,0
CUST104794,21.0,Male,Divorced,High School,Student,Maharashtra,Not Employed,20176.72,3.0,Students,Medium,Salary,1009.84,1500.0,198.2,0.0,0.0,509.0,0.0,2.0,90.0,100.0,16.0,30.0,True,True,True,True,False,True,True,True,False,True,True,False,False,False,72777.12,33,2205.367272727273,3128.73,50.0,9.912334304372887,7.427970680481144,7.313886831633462,6.918536947346814,0.0,11.19517063956019,9,0
CUST102944,21.0,Female,Widowed,Post Graduate,Salaried - Private,Maharashtra,Employed,1011994.27,3.0,Young Professionals,High,Salary,16281.15,,-28620.62,55940.24,2744533.86,490.0,0.61,2.0,97.0,75.0,10.0,34.0,True,False,True,True,False,False,False,True,True,False,False,False,False,False,2041488.2,38,53723.37368421053,88239.61,588.5,13.827434454905582,11.342538724081336,,9.697824694718928,14.825122168658584,14.529190099500001,5,1
CUST104719,41.0,Male,Widowed,Graduate,Salaried - Private,Madhya Pradesh,Employed,1454608.43,1.0,Business Owners,Medium,Savings,478682.89,45348.95,74454.98,0.0,0.0,607.0,0.0,1.0,72.0,51.0,7.0,26.0,False,False,False,False,True,True,False,False,True,False,True,False,False,False,442789.14,13,34060.70307692308,181214.96,1163.95,14.190247989563456,11.705348908788899,10.722164353006843,13.078795721169014,0.0,13.000851212179356,4,0
CUST102560,23.0,Female,Divorced,Graduate,Student,Bihar,Not Employed,36536.18,5.0,Students,Medium,Savings,6832.48,1948.61,1180.26,0.0,0.0,544.0,0.0,3.0,100.0,97.0,9.0,34.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,714.41,8,89.30125,331.77,50.0,10.506085651255935,8.02147947212546,7.575384631555125,8.829589339642688,0.0,6.57285580492124,2,0
CUST102931,30.0,Female,Divorced,High School,Self Employed,Uttarakhand,Self Employed,1651837.66,12.0,Young Professionals,,Savings,64156.2,76454.86,6301.57,55130.25,4944826.0,607.0,0.4,2.0,80.0,100.0,9.0,30.0,True,True,False,False,False,False,False,False,True,False,False,False,False,False,36894.65,15,2459.643333333333,5021.14,637.82,14.31739956485542,11.832499586398892,11.244468859825787,11.06909160069035,15.413852537593801,10.515848936900635,3,1
CUST103203,35.0,Female,Single,Post Graduate,Salaried - Private,Chhattisgarh,Employed,1463450.18,17.0,Young Professionals,Medium,Salary,465662.79,44093.85,83096.92,0.0,0.0,620.0,0.0,1.0,83.0,86.0,8.0,34.0,True,True,True,True,False,False,False,False,False,False,False,False,True,True,2961848.42,38,77943.37947368421,127163.51,612.82,14.196308026170247,11.711408879166733,10.694098274570266,13.051219172028643,0.0,14.90132443524551,6,0
CUST100753,38.0,Female,Divorced,Graduate,Salaried - Private,Karnataka,Employed,1069598.22,16.0,Business Owners,Medium,Salary,161656.23,55169.65,31880.62,0.0,0.0,613.0,0.03,3.0,67.0,61.0,6.0,28.0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,2401861.82,36,66718.38388888889,93031.79,1166.8,13.882794575525027,11.397898153814841,10.918186387962525,11.993233508413828,0.0,14.691755169250136,4,0
CUST102906,64.0,Male,Married,Graduate,Retired,Maharashtra,Retired,643522.41,14.0,Retired Customers,Low,Current,163641.69,26522.41,27656.0,0.0,0.0,721.0,0.02,4.0,24.0,29.0,10.0,5.0,False,True,True,False,False,False,True,True,False,False,False,False,False,False,22849.92,6,3808.32,9904.6,229.75,13.374713684532992,10.889824174611704,10.185783018235927,12.005440610431812,0.0,10.036746658093891,4,0
CUST103223,18.0,Female,Single,Graduate,Student,Tamil Nadu,Not Employed,46497.01,1.0,Students,Medium,Current,,3454.97,359.34,0.0,0.0,563.0,,2.0,100.0,100.0,3.0,33.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,333.71320000000003,5,50.28,51.4,50.0,10.747164794960762,8.262494471446471,8.147858449330714,,0.0,5.81327404574257,1,0
CUST103364,61.0,Female,Widowed,Diploma,Retired,,Retired,618588.72,1.0,Retired Customers,Low,Savings,110475.35,26677.2,25414.82,0.0,0.0,638.0,0.01,1.0,48.0,18.0,11.0,14.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,6969.93,8,871.24125,1529.57,278.05,13.335197520924961,10.850308653362955,10.191602031486742,11.612556749883545,0.0,8.849503923835064,3,0
CUST102188,33.0,Female,,Diploma,Salaried - Government,Jharkhand,Employed,814953.78,,Young Professionals,Medium,Fixed Deposit Linked,121766.03,44881.68,23045.46,0.0,0.0,681.0,0.0,1.0,78.0,90.0,9.0,32.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,25388.98,15,1692.5986666666668,3074.83,425.99,13.610887906021093,11.12599482744615,10.711807253208729,11.709864907959703,0.0,10.142109886986717,3,0
CUST103945,36.0,Female,Single,Post Graduate,Self Employed,Punjab,Self Employed,1145788.85,15.0,Business Owners,High,Savings,18974.86,65088.58,-7688.38,39832.32,3843966.68,638.0,0.39,2.0,57.0,90.0,9.0,39.0,False,True,False,False,True,False,True,False,True,False,True,False,False,False,391847.22,17,23049.836470588238,170286.21,918.53,13.95160478247786,11.4667076893705,11.083519753941529,9.850922924029932,15.162015641128544,12.878629849916145,5,1
CUST101460,22.0,Female,Married,Post Graduate,Salaried - Government,Madhya Pradesh,Employed,1059990.78,4.0,Young Professionals,Medium,Salary,281642.68,31687.87,57591.42,0.0,0.0,685.0,0.01,4.0,100.0,89.0,14.0,30.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2136021.04,41,52098.07414634146,91376.76,508.64,13.8737717113412,11.388875495541944,10.36372079411295,12.548398004873512,0.0,14.574455797361049,2,0
CUST103041,58.0,Female,Divorced,High School,Self Employed,Chhattisgarh,Self Employed,3296191.42,1.0,,High,Salary,168337.64,174352.17,12232.09,,8443774.28,589.0,0.28,3.0,52.0,34.0,10.0,12.0,True,True,True,True,False,True,False,False,False,True,False,False,True,True,3402172.78,25,136086.9112,288308.65,1560.83,15.008278548161831,12.523375241619666,12.068838233756692,12.033732943844967,15.948940074616585,15.039925132349955,8,1
CUST100332,34.0,Male,Divorced,Graduate,Salaried - Private,Tamil Nadu,Employed,750761.83,16.0,Young Professionals,Medium,,103994.0,45096.96,16181.05,0.0,0.0,632.0,,2.0,83.0,68.0,8.0,21.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,21299.83,16,1331.239375,3862.41,521.7,13.52884507527664,11.043953143743515,10.71659229165177,11.5520981000447,0.0,9.966501318074467,3,0
CUST104768,46.0,Female,Married,Diploma,Salaried - Private,Madhya Pradesh,,2657804.26,1.0,Business Owners,Medium,Salary,486290.05,136582.85,,0.0,,657.0,0.0,4.0,70.0,79.0,9.0,40.0,True,False,True,False,True,False,False,False,True,True,True,False,True,True,3544573.59,28,126591.91392857143,447874.51,1568.1,14.79301124995803,12.308108746439629,11.824693990725198,13.094562591945321,,15.080928707926576,8,0
CUST102109,27.0,Female,Married,Post Graduate,Self Employed,Tamil Nadu,Self Employed,1308471.38,1.0,Young Professionals,High,Savings,184181.07,55557.35,48889.26,0.0,0.0,670.0,0.0,1.0,76.0,71.0,13.0,33.0,False,True,False,True,False,False,False,True,True,False,True,False,False,False,34363.04,12,2863.5866666666666,8943.51,616.93,14.084370892590467,11.599472634232121,10.925189098803108,12.123680058217522,0.0,10.444765947766117,5,0
CUST103248,21.0,Female,,Graduate,Salaried - Private,Telangana,Employed,716514.78,3.0,Young Professionals,Medium,Salary,12313.11,27187.29,,32440.33,2040847.39,523.0,0.55,3.0,94.0,100.0,10.0,42.0,True,True,True,False,False,False,False,True,False,False,False,True,True,True,1450023.67,35,41429.24771428572,62620.03,451.83,13.482155549734292,10.99726433563515,10.210541644880145,9.418501038353135,14.52887615681832,14.187091128045127,7,1
CUST101122,21.0,Male,Divorced,Doctorate,Freelancer,Punjab,Self Employed,729658.3,3.0,Young Professionals,High,Savings,,43827.6,-30275.48,50252.41,1089418.02,494.0,0.84,1.0,91.0,100.0,,43.0,False,True,True,True,False,False,False,False,False,True,False,False,False,False,23018.17,15,1534.544666666667,2955.46,346.31,13.50033299185171,11.0154414448888,10.688041851310194,,13.901155102931128,10.044082626022032,4,1
CUST101655,46.0,Male,Single,Post Graduate,Self Employed,Madhya Pradesh,Self Employed,2950646.14,10.0,Business Owners,High,Current,1354969.98,133377.2,113557.13,0.0,0.0,654.0,0.01,2.0,52.0,45.0,5.0,19.0,False,True,True,False,True,True,False,True,False,True,True,True,False,False,981268.67,18,54514.92611111111,353535.1,1797.38,14.897535073749559,12.41263215872851,11.800943980818582,14.119290595092423,0.0,13.796602593737711,8,0
CUST101096,47.0,Female,Divorced,Diploma,Self Employed,Bihar,Self Employed,2067435.12,17.0,Business Owners,High,Savings,570437.24,80186.25,90067.13,0.0,,718.0,0.0,2.0,60.0,68.0,15.0,16.0,False,True,False,False,True,False,False,True,False,True,True,True,False,False,700147.24,12,58345.60333333333,228874.41,2931.71,14.54181980818379,12.056918478981336,11.292119803660224,13.25416018650831,,13.45904736303371,6,0
CUST102120,48.0,Female,Widowed,Post Graduate,Homemaker,Chhattisgarh,Not Employed,14838.8398,8.0,Business Owners,Low,Current,946.93,1500.0,-347.46,0.0,0.0,512.0,0.02,3.0,59.0,48.0,12.0,17.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,68023.76,21,3239.2266666666665,20000.0,132.72,9.605070721514856,7.118899039935025,7.313886831633462,6.854280659866292,0.0,11.12762703553056,1,0
CUST102189,24.0,Male,Divorced,Graduate,Unemployed,Tamil Nadu,Not Employed,50722.75,6.0,Young Professionals,Medium,Savings,8271.37,2222.62,1911.76,0.0,0.0,540.0,0.01,3.0,89.0,100.0,6.0,39.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4765.11,16,297.819375,1091.84,123.27,10.834149521709255,8.349460694865575,7.706891777462322,9.020676324954852,0.0,8.469285737543414,2,0
CUST101887,45.0,Male,Divorced,Graduate,Salaried - Private,Uttar Pradesh,Employed,898136.87,18.0,Business Owners,Medium,Salary,18881.84,43923.47,-102717.19,133360.24,2806486.77,429.0,1.5,1.0,70.0,67.0,15.0,25.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,1993912.67,32,62309.7709375,78129.36,792.75,13.708078865566618,11.223184474400465,10.690226846960876,9.84600885211579,14.847444355613938,14.505609933682017,3,1
CUST104197,22.0,Female,Widowed,Post Graduate,Salaried - Government,Gujarat,Employed,849371.31,4.0,Young Professionals,Medium,Savings,225580.97,32774.51,39702.53,0.0,0.0,650.0,0.0,2.0,82.0,73.0,9.0,33.0,False,True,False,False,False,False,False,False,True,False,True,True,True,False,12825.54,10,1282.554,2623.32,540.95,13.652252896847946,11.167359162396401,10.397436869151568,12.326438875199484,0.0,9.459271740802897,5,0
CUST100402,30.0,Male,Single,Graduate,Unemployed,Gujarat,Not Employed,84298.08,10.0,,,Salary,9241.31,4513.02,2658.47,0.0,0.0,494.0,0.03,1.0,100.0,95.0,10.0,37.0,True,True,True,False,False,False,False,False,True,True,False,False,False,True,172597.34,36,4794.370555555555,7369.59,67.16,11.342126230525887,8.857350060007407,8.414943388027835,9.131547133390937,0.0,12.058722439972238,6,0
CUST103002,37.0,Male,Divorced,Post Graduate,Homemaker,Gujarat,Not Employed,44701.33,13.0,Business Owners,Low,NRI,8484.02,1835.81,1910.07,0.0,0.0,580.0,0.05,2.0,74.0,62.0,9.0,35.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,67915.61,21,3234.076666666667,20000.0,129.32,10.707780904522828,8.22312007300166,7.515785650361298,9.046057534766314,0.0,11.126035908078823,2,0
CUST100741,67.0,Male,Divorced,Graduate,Retired,Assam,Retired,257484.33,13.0,Retired Customers,Low,Current,196461.64,10056.49,11530.08,0.0,0.0,629.0,0.0,1.0,47.0,21.0,14.0,10.0,False,True,False,False,False,False,True,True,False,False,False,False,True,False,1461.05,3,487.01666666666665,828.35,189.76,12.45871802658924,9.973854213275684,9.216072909540575,12.188227564988518,0.0,7.287594839451328,4,0
CUST103623,32.0,Male,Single,Post Graduate,Salaried - Government,Rajasthan,Employed,944888.79,,Young Professionals,Medium,Salary,68030.02,47290.0,11549.97,21295.99,2322093.12,657.0,0.35,3.0,90.0,89.0,6.0,,True,True,True,False,False,True,False,False,True,True,True,False,False,False,1928364.4,42,45913.438095238096,82060.85,430.34,13.758823575336109,11.27392853530031,10.764075281534032,11.127719056611978,14.657979974440886,14.472183259017024,7,1
CUST101246,52.0,Female,Widowed,,Unemployed,Tamil Nadu,Not Employed,21708.28,5.0,Business Owners,Low,Savings,2787.22,1500.0,336.56,0.0,0.0,466.0,0.0,1.0,64.0,46.0,10.0,28.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,65105.48,13,5008.113846153846,20000.0,128.26,9.985495097882035,7.50109317392258,7.313886831633462,7.93315867837984,0.0,11.083779362413473,3,0
CUST103143,65.0,Male,Widowed,Graduate,Retired,Karnataka,Retired,831583.88,11.0,Retired Customers,Low,Savings,144701.03,36399.52,32634.3,0.0,0.0,704.0,0.0,2.0,37.0,39.0,11.0,11.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,853.85,2,426.925,540.65,313.2,13.631088652982521,11.146195278961052,10.502338339237077,11.88243194154674,0.0,6.750926014949118,3,0
CUST102759,46.0,Male,Single,Graduate,Salaried - Government,Punjab,Employed,1503888.78,18.0,Business Owners,Medium,Salary,255429.87,60749.04,63688.27,0.0,0.0,720.0,0.02,3.0,45.0,81.0,16.0,32.0,True,True,True,False,False,False,False,False,False,False,False,False,True,False,3417323.03,47,72709.00063829788,181920.42,1376.2,14.223565496232009,11.738666200679324,11.014523019638792,12.450707084501225,0.0,15.044368355398653,4,0
CUST103699,64.0,Male,Widowed,High School,Retired,Karnataka,Retired,460947.41,,Retired Customers,Low,Salary,121062.67,18227.49,20891.11,0.0,0.0,645.0,0.01,3.0,,54.0,27.0,12.0,True,True,True,False,False,False,False,True,True,False,True,False,False,False,925292.07,26,35588.15653846154,39999.55,547.97,13.041041406822808,10.556158512122588,9.810741033742897,11.704071884532182,0.0,13.7378657987462,6,0
CUST100411,31.0,Female,Divorced,Graduate,Salaried - Private,Assam,Employed,1557387.2,4.0,Young Professionals,Medium,Salary,58108.8,58912.74,-190203.98,261582.72,5627824.54,523.0,1.5,,78.0,93.0,4.0,34.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,3157753.42,37,85344.68702702703,136220.99,610.62,14.258520745365871,11.773621184344094,10.983829619175127,10.97008960331482,15.543233698157415,14.965371706366064,3,1
