Account_ID,Customer_ID,Account_Type,Average_Balance,Monthly_Expenses,Monthly_Savings,EMI,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Number_of_Accounts,Digital_Banking_Usage,Mobile_App_Usage,ATM_Transactions,Online_Transactions
ACC204311,CUST100638,Fixed Deposit Linked,7865362.66,453386,731203.96,0,0,714,0.03,2,39,44,12,13
ACC201569,CUST102083,Savings,,23706.68,13326.03,0,0,554,0,1,100,100,6,27
ACC201227,CUST103153,Savings,105367.89,52184.53,14295.96,15035.55,691068.29,665,0.19,3,,90,5,46
ACC203788,CUST103562,Salary,204164.05,44667.43,,0,0,607,,2,81,76,9,27
ACC202688,CUST103492,Savings,208992.22,41691.8,41398.48,,0,,0,2,92,80,10,27
ACC202036,CUST104640,Savings,296033.95,66503.56,85175.89,0,0,,0.04,5,94,91,7,37
ACC201858,CUST102321,Salary,500,1500,-846.13,704.72,34633.22,524,0.57,5,44,44,12,14
ACC203490,CUST103935,Fixed Deposit Linked,136978.37,47489.45,13294.86,,2480333.6,600,0.3,1,93,90,12,34
ACC203735,CUST104060,Savings,425158.44,54156.46,87116.69,0,0,619,0,2,68,82,11,25
ACC200004,CUST100705,,27727.63,38549.54,-15089.7,35222.06,1628780.69,573,0.6,3,52,58,11,21
ACC204133,CUST103205,Current,253436.61,268507.89,-228272.06,460964.96,14299425.6,503,0.89,2,65,51,15,30
ACC201272,CUST102835,Salary,263664.1,117339.33,74329.2,0,0,593,0,2,81,68,10,37
ACC204635,CUST100512,Savings,176010.09,32083.75,45502.25,0,0,665,0.02,4,87,100,11,37
ACC201343,CUST100564,Salary,49155.27,16715.65,14192.93,7383.16,693217.15,569,0.16,4,54,34,19,15
ACC203986,CUST102209,Savings,95699.05,15161.43,23435.01,0,0,588,0,2,46,30,21,15
ACC200735,CUST104841,Savings,16668.78,4829.22,3281.11,0,0,602,0.01,3,82,96,7,47
ACC201193,CUST104812,Savings,225995.64,74378.22,36521.59,0,0,688,0.03,4,78,65,4,37
ACC203439,CUST102412,Current,571878.15,268678.3,-116765.06,450792.68,27920806.21,556,0.73,4,59,74,13,20
ACC203449,CUST101690,Savings,187372.4,233535.95,-174899.17,354954.17,28033355.19,548,0.87,4,87,76,10,19
ACC200213,CUST102483,Savings,154473.64,,31507.66,57730.1,5846019.83,,0.36,1,94,67,10,37
ACC201637,CUST102643,Salary,108677.69,38138.47,23077.45,0,0,649,,3,68,88,6,27
ACC201661,CUST100761,Fixed Deposit Linked,9242.77,1500,1067.04,0,0,599,0.02,2,85,,10,27
ACC204146,CUST102371,Savings,99257.28,38119.9,26777.74,0,0,674,0.08,3,40,36,12,17
ACC204348,CUST104138,Savings,479310.51,65721.14,105457.88,0,0,675,0.02,5,79,81,7,32
ACC204662,CUST101715,Savings,3787.27,1500,563.92,0,0,588,0,,88,100,7,35
ACC200766,CUST101010,NRI,483419.63,91016.25,87492.61,0,0,619,0,3,81,64,11,23
ACC203939,CUST102001,Salary,39518.36,67404.09,-7986.74,33131.41,2777295.25,642,0.36,3,90,99,7,39
ACC202451,CUST102647,Salary,87486.37,11107.54,19129.74,0,0,623,0,,24,41,13,11
ACC204883,CUST104191,Fixed Deposit Linked,58598.01,89033.84,-5707.95,43533.91,941561.41,651,0.34,3,70,48,13,27
ACC201382,CUST102547,Current,801250.21,826783.25,-378731.11,823108.59,81447114.35,610,0.58,3,52,45,12,19
ACC203769,CUST103861,Savings,7502.43,5561.22,1905.84,0,0,654,0,1,95,100,8,43
ACC202610,CUST101206,Salary,15730.87,62502.95,-3086.13,42933,,573,0.43,1,,85,10,47
ACC204310,CUST100055,Savings,589.08,,-43.8,0,0,610,0.03,4,90,87,8,35
ACC203874,CUST102541,Salary,17101.15,57245.29,-129385.81,157375.66,3400554.66,525,1.5,2,75,79,7,33
ACC200876,CUST103085,,18645.43,46810.44,-78869.28,115328.89,2529501.58,498,1.44,3,100,76,14,26
ACC204010,CUST102637,Current,1135834.8,385977.83,39040.57,458373.54,22526958.23,602,0.48,4,73,57,10,25
ACC202304,CUST104065,Salary,1061.82,1500,-1142.28,2931.08,64798.1,477,0.83,2,61,55,9,24
ACC201731,CUST103885,Savings,2874.13,2397.42,412.36,0,0,617,0,3,100,75,12,36
ACC201144,CUST102910,Salary,231509.4,25135.61,36538.85,2876.23,298757.75,627,0.03,2,48,21,20,16
ACC200449,CUST100093,Savings,100346.6,45247.26,21049.41,11086.31,1021530.2,584,0.17,1,86,82,4,30
ACC203375,CUST104931,Savings,132936.42,25495.52,32657.33,0,0,708,0,4,100,100,22,44
ACC202643,CUST104550,Savings,3206.41,5903.17,512.4,0,0,567,,4,96,99,10,30
ACC200723,CUST103838,Current,,409009.88,-328458.82,628878.1,39616019.67,579,0.83,2,46,17,8,9
ACC200561,CUST103338,Savings,12054.01,31936.94,-87371.83,134560.75,2868461.21,517,1.5,1,99,61,13,27
ACC202273,CUST104155,Savings,1333637.94,234591.83,364329.21,0,0,696,0.03,4,69,72,7,29
ACC201634,CUST103204,Savings,82811.31,33786.06,20214.45,0,,684,0,2,36,14,21,8
ACC200194,CUST102018,Savings,6390.22,2517.63,885.37,0,0,579,0,2,71,68,7,34
ACC203190,CUST102335,Savings,44591.99,50553.02,5905.37,12978.33,832597.05,543,0.15,3,67,61,10,20
ACC200770,CUST102229,Salary,9168.81,,-1852.96,20606.84,934746.01,565,0.36,3,100,89,11,35
ACC200616,CUST101456,Savings,5289.59,3151.36,1356.03,0,0,574,0.02,3,76,91,13,34
ACC204079,CUST103877,Savings,259067.4,101781.88,70747.45,0,0,677,0.01,2,80,,12,30
ACC203613,CUST100398,Savings,54560.63,42358.18,13584.1,9137.04,,554,0.16,4,,17,14,7
ACC202447,CUST100460,Savings,2921.85,1600,931.25,0,0,560,0,3,85,88,7,35
ACC201095,CUST100432,Current,468504.41,500034.35,-4084868.83,4456229.42,51164265.39,538,1.5,5,,65,12,27
ACC202421,CUST102698,Savings,504340.56,106360.68,150560.8,0,0,680,0,4,59,46,23,20
ACC204030,CUST103212,Fixed Deposit Linked,57081.4,162079.28,-72934.81,134079.79,5833601.74,560,0.56,2,80,74,6,31
ACC202466,CUST102285,Savings,3430.91,6448.08,-3996.12,4586.64,,458,0.64,5,76,98,7,36
ACC203598,CUST101325,Salary,13424.89,95872.53,-34869.99,66373.08,4564057.55,640,0.55,1,50,46,23,15
ACC203765,CUST103569,Salary,37692.78,69211.49,-1650.99,39166.43,1844913.87,648,0.41,1,72,57,14,26
ACC201178,CUST104221,Current,6186045.07,456478.8,357202.1,478813.67,,659,0.39,2,30,30,13,15
ACC204440,CUST101353,Savings,84446.45,68339.13,12082.32,,1304563.22,561,0.11,1,59,82,13,22
ACC200446,CUST102328,Current,408852.09,24619.83,39794.4,0,0,667,0,5,39,28,19,14
ACC200172,CUST102696,Savings,,5937.01,1021.51,0,0,573,0.01,3,93,100,8,40
ACC204285,CUST101169,Fixed Deposit Linked,244412.96,69844.26,24772.88,0,0,660,0,2,60,48,11,27
ACC203816,CUST100028,Savings,120698.61,114969.08,16361.97,,,620,0.38,1,86,77,7,36
ACC201179,CUST104693,Savings,138240.48,27186.51,38384.89,0,0,644,0.03,3,38,6,11,9
ACC200732,CUST103822,Savings,171030.96,19231.19,32430.84,0,0,646,0.01,2,10,23,17,6
ACC201901,CUST100816,Fixed Deposit Linked,8995.99,1591.68,904.46,0,0,604,0.02,4,100,100,5,
ACC202670,CUST103889,Salary,88107.87,41302.55,12846.99,43779.48,2074504.89,631,0.42,2,47,61,18,19
ACC201124,CUST102589,Salary,164323.97,69044.9,40584.98,0,0,671,0,2,66,66,6,30
ACC202646,CUST100456,Salary,7726.88,2456,1279.92,0,0,615,0.03,2,95,100,10,50
ACC202338,CUST101582,Salary,409356.75,96913.7,72893.23,0,0,688,0,5,85,71,12,42
ACC200318,CUST104802,Salary,7672.99,1901.25,1330.5,1051.71,32332.99,555,0.21,3,44,64,,21
ACC204036,CUST101724,Salary,20053.12,54523.09,-57192.05,108162.56,2389709.58,570,1.06,1,86,80,12,25
ACC201003,CUST103671,Savings,236740.7,64106.4,50660.56,35910.19,3219236.43,643,0.22,2,56,64,13,19
ACC202725,CUST102010,Savings,29412.36,,-424205.53,519668.09,5914039.94,570,1.5,3,81,72,10,31
ACC204154,CUST102645,Savings,49343.29,54979.86,-7070.44,64545.53,2950507.23,590,0.62,2,77,67,10,31
ACC201391,CUST100809,Savings,212346.21,107041.82,42533.89,0,0,542,0.02,2,61,79,9,
ACC203677,CUST103598,Salary,68689.57,90122.87,-23437.67,73679.99,842028.37,598,0.56,2,58,71,13,29
ACC203159,CUST102579,Salary,88776.44,20084.36,15820.62,,0,621,0.06,2,100,93,12,48
ACC200981,CUST100239,Fixed Deposit Linked,445907.34,69829.19,40772.7,0,0,689,0,2,49,45,22,13
ACC202761,CUST102493,Savings,3390.39,2157.08,491.34,0,0,610,0,5,100,93,6,31
ACC201206,CUST101361,Salary,25979.52,120689.13,-141021.08,223728.56,4680700.82,480,1.13,3,61,78,8,32
ACC200594,CUST104741,Current,2452.48,1568.57,216.47,357.74,20000,487,0.17,2,94,100,10,39
ACC203945,CUST100181,Salary,4434.1,1500,1434.03,,0,571,0.05,3,81,72,8,30
ACC202120,CUST102535,Savings,409362.01,80184.69,76259.41,0,0,710,0.05,1,66,35,17,18
ACC203814,CUST101319,Salary,179510.23,130647.51,44015.31,0,0,692,0.02,4,39,17,8,11
ACC204720,CUST102565,,1417322.66,86669.64,88832.48,0,0,642,0,2,100,74,13,40
ACC202432,CUST100361,Fixed Deposit Linked,487749.53,82603.6,78863.75,39424.29,4563776.73,724,0.26,1,69,51,11,26
ACC201406,CUST101482,Current,514323.32,,44076.15,0,0,642,0,1,,14,19,6
ACC200739,CUST100274,Savings,83854.46,29877.7,15559.47,0,0,586,0.02,3,47,23,22,8
ACC204286,CUST104516,Salary,39270.2,85644.94,6111.88,31294.96,2947012.91,633,0.3,2,82,79,8,38
ACC200921,CUST101543,Savings,,49172.13,59385.18,0,,705,0,3,66,85,14,26
ACC202547,CUST102855,Savings,852604.4,368474.81,231039.57,0,0,712,0,1,73,65,11,30
ACC203571,CUST100053,,96033.26,27208.47,21488.98,0,0,617,0,1,63,59,11,22
ACC202740,CUST102453,Savings,38049.69,50046.23,-900.13,26959.89,,655,0.36,1,67,86,10,43
ACC203062,CUST103519,Current,2969055.46,265298.54,131915.73,322712.37,23809444.72,620,,1,56,50,9,24
ACC200699,CUST100511,Salary,134304.71,42471.43,41409.81,0,0,590,0.03,1,89,75,7,30
ACC204649,CUST104738,,191843.39,34491.95,49447.46,0,0,,0,6,66,46,11,21
ACC201602,CUST104365,Savings,49965.52,10394.8,12740.8,0,0,681,0.02,5,33,26,17,12
ACC202395,CUST103606,Salary,107573.94,57492.7,18795.4,24394.72,1431453.16,,,1,69,65,10,21
ACC202077,CUST101904,Savings,243419.5,45029.96,40532.89,0,0,619,0.04,4,60,37,13,19
ACC200473,CUST102778,Salary,166241.54,38219.39,35169.98,0,0,648,0,2,86,66,8,
ACC200138,CUST100964,Current,2114862.08,446936.05,,,0,664,0,3,48,,19,18
ACC203756,CUST102322,Savings,372242.83,61976.21,91529.44,0,0,747,0.02,2,74,70,10,32
ACC203021,CUST102793,Salary,135286.21,30935.85,29014.5,13771.66,1284189.96,681,0.18,3,62,88,7,34
ACC200474,CUST102948,Fixed Deposit Linked,201069.83,19600.44,25132.68,0,0,615,0,3,33,22,16,13
ACC202244,CUST103508,Fixed Deposit Linked,232637.1,47229.46,21724.56,0,0,635,0,1,95,83,11,29
ACC200328,CUST104152,Salary,2855.77,1706.21,598.46,990.04,21854.2,540,0.29,3,100,80,11,37
ACC204047,CUST104727,Current,39510.96,18173.99,-36158.33,63957.38,730282.39,,1.45,1,74,80,12,29
ACC203006,CUST101142,Savings,6975.69,,1041.8,,0,655,0.01,4,93,81,18,33
ACC204856,CUST104744,Fixed Deposit Linked,272542.07,61809.85,56427.03,0,0,657,0,1,92,100,,44
ACC200746,CUST100605,Fixed Deposit Linked,598066.81,74411.49,60637.6,0,0,670,0,1,100,88,9,33
ACC204597,CUST102839,,58398.86,11661.6,16403.1,0,0,601,0,4,74,69,8,25
ACC203377,CUST104580,Savings,196450.45,78536.3,35566.4,0,0,677,0,1,74,51,9,27
ACC202780,CUST103848,Savings,252959.61,93658.7,61714.24,0,0,678,0.05,2,76,57,7,19
ACC202082,CUST103355,Salary,99292.55,32736.51,15004.97,0,,663,0.04,1,50,57,13,24
ACC202996,CUST103648,Savings,83408.82,73793.39,6719.18,116624.44,10391010.44,574,0.6,2,76,55,12,26
ACC202103,CUST101602,Salary,98546.36,41942.77,26389.08,0,,667,0,1,100,85,7,33
ACC202626,CUST104162,Current,547036.24,39036.71,,0,0,655,,5,50,41,,19
ACC204105,CUST103476,Savings,,17897.18,11944.53,0,0,672,0,5,27,29,15,9
ACC202498,CUST104087,Fixed Deposit Linked,2302458.13,255149.59,195818.92,0,,616,0,4,73,37,7,14
ACC203105,CUST102113,Salary,11081.8,,-55552.12,76889.25,3417565.36,457,0.95,2,67,,14,15
ACC201170,CUST101864,Savings,5334.74,1500,1013.62,0,0,652,0,1,54,61,,19
ACC201335,CUST103438,Salary,108350.88,,20759.09,18269.44,1493162.67,655,0.32,2,74,77,14,24
ACC202659,CUST103336,Savings,5817.58,1854,1583.27,0,0,540,0,,77,82,6,33
ACC200207,CUST103425,Salary,7033.52,2107.92,1300.75,0,0,614,0,4,91,88,6,36
ACC203832,CUST103028,Fixed Deposit Linked,147436.96,52719.63,23188.06,0,0,702,0.04,3,89,78,9,32
ACC204420,CUST100255,Savings,4180.92,7581.67,1099.49,0,0,609,0,2,90,71,5,44
ACC201873,CUST103622,Salary,23177.92,33830.49,3460.08,18428.94,1518796.08,571,0.32,4,89,,9,34
ACC202933,CUST103965,Savings,10569.14,57099.35,-14061.6,46773.48,3142442.15,582,0.54,1,68,77,14,34
ACC204306,CUST103287,Salary,175628.07,48102.81,39186.32,,0,672,0,2,79,66,9,34
ACC204621,CUST102744,Salary,110684.97,20937.21,16837.2,0,0,559,0,3,87,100,12,37
ACC201422,CUST100576,Savings,51928.4,28512.29,9847,20504.42,635290.28,575,0.37,1,33,34,23,8
ACC204939,CUST103843,Savings,19362.31,34598.18,-60211.73,74659.52,,448,1.5,2,76,61,9,28
ACC202853,CUST100719,Fixed Deposit Linked,1263705.15,342327.7,248294.06,0,,667,0.03,5,69,97,12,30
ACC202392,CUST102023,Salary,,52739.13,28534.7,0,0,685,0.02,5,98,100,14,55
ACC204684,CUST100537,Fixed Deposit Linked,517458.04,141636.46,58756.04,,0,725,0,2,76,61,9,36
ACC202981,CUST103481,Current,735209.71,444012.4,-578673.91,,44547867.76,453,1.19,1,55,56,14,23
ACC203313,CUST104530,Savings,248796.92,34454.93,40499.09,0,0,654,0,2,94,74,11,27
ACC202522,CUST104236,Salary,18163.34,44774.25,-104894,138369,2963399.35,418,1.5,3,62,54,17,
ACC200500,CUST103716,Current,406307.21,231782.97,-27781.94,388322.7,30530915.13,533,0.68,1,84,71,11,27
ACC202406,CUST104135,Salary,,,64646.37,0,0,687,0.03,3,65,61,8,20
ACC204059,CUST103572,Current,27654.46,3122.9,3942.43,0,0,630,0,3,90,75,7,38
ACC203038,CUST102289,Savings,3092.79,3445.89,576.2,0,0,553,0,2,100,87,12,42
ACC203942,CUST104527,Savings,120193.46,,25087.25,0,0,697,,5,41,34,17,17
ACC204685,CUST102806,Savings,216998.93,33153.68,35529.24,0,0,,0.01,1,26,32,19,13
ACC202343,CUST101775,Savings,1372.21,5112.26,-7370.97,11686.27,132834.38,457,1.2,4,79,62,10,38
ACC202413,CUST102281,Savings,4405.35,1901.9,1281.89,0,0,641,0,1,100,100,6,43
ACC203899,CUST104526,Savings,175021.51,43619.77,28942.63,0,0,675,0,3,1,12,23,4
ACC202893,CUST101443,Savings,27512.14,42903.16,-8478.96,48850.31,2400237.08,604,0.62,3,,88,12,27
ACC203283,CUST102848,Current,245799.54,12018.51,22512.43,0,0,658,0.02,2,57,79,8,20
ACC204644,CUST104806,Salary,233834.32,33850.89,34751.35,22562.66,1926330.05,670,0.22,2,69,55,12,27
ACC201390,CUST101477,Salary,140275.08,40029.92,20578.99,,0,721,0,3,100,89,10,41
ACC202414,CUST101416,Savings,95824.52,255630.55,-1103251.38,1200943.13,25621160.61,508,1.5,4,59,65,18,27
ACC200767,CUST102794,Salary,11461.19,3098.36,1806.35,0,0,,0,3,88,100,11,44
ACC201537,CUST101350,Salary,188349.89,48107.68,28875.35,0,0,691,0.06,2,60,52,19,24
ACC204417,CUST100009,Current,677035.06,29258.73,53390.74,0,0,631,0.04,3,30,49,8,15
ACC200188,CUST100530,Savings,123822.82,54449.18,29201.59,0,0,675,0,4,50,44,12,11
ACC204922,CUST103993,Salary,234600.29,87783.99,52654.6,0,0,727,0,2,50,66,9,15
ACC204808,CUST100659,Fixed Deposit Linked,1023563.86,64587.18,99571.71,0,0,,0.02,2,80,98,14,33
ACC201146,CUST101623,Savings,63281.45,27413.31,,0,0,649,0,4,23,0,15,
ACC204752,CUST104891,Savings,122269.13,49235.57,20528,0,0,718,0.02,3,100,86,7,40
ACC204502,CUST101217,,629277.17,63664.02,104862.41,0,0,696,0,3,32,27,23,15
ACC204424,CUST100924,Salary,22427.6,38905.57,-57515.4,77142.02,1656485.41,511,1.3,3,69,93,7,26
ACC201459,CUST102409,Savings,248108.57,42209.33,38672.81,14822.18,1053354.24,679,0.14,2,59,,14,22
ACC203983,CUST104922,Savings,8848.22,1962.29,1407.18,0,0,605,0,2,92,100,4,44
ACC201793,CUST100222,Savings,402629.75,55066.71,,,0,716,0,2,69,55,13,24
ACC204857,CUST100709,Savings,183935.24,47427.06,33771.62,0,0,654,0,2,93,66,8,29
ACC201990,CUST103317,Savings,11385.53,4773.31,2153.16,0,0,573,0,2,100,73,16,39
ACC202397,CUST104847,Current,11853.65,3834.43,2503.1,0,0,621,0,3,71,81,12,37
ACC200427,CUST101434,Fixed Deposit Linked,176685.46,49551.5,33398.16,0,0,627,0.01,1,54,29,16,13
ACC204693,CUST103009,Current,396289.61,56084.75,35163.7,17240.99,1827156.38,640,0.14,5,40,,16,20
ACC203666,CUST101449,Fixed Deposit Linked,1919158.28,141382.6,,0,0,731,0,1,75,57,14,27
ACC200909,CUST104458,Salary,39248.84,72544.06,-360678.02,391922.4,4413893.84,523,1.5,1,,87,14,34
ACC201561,CUST100286,Savings,275228.74,57853.77,71283.73,0,0,668,,3,85,50,14,34
ACC202461,CUST102250,Savings,137455.41,22612.7,27306.3,0,0,581,0,2,32,34,16,11
ACC201458,CUST104411,Savings,243576.78,65627.2,42301.66,0,0,643,0,2,94,95,12,41
ACC200700,CUST104729,Savings,216960.62,66478.43,47681.93,0,0,,0,1,80,66,11,21
